qc_id,fid,poleis,icon_url
"0","1",Ιτίλ,./0.png
"1","2",Σαρκέλ,./0.png
"2","3",Βόσπορος (Κερτς),./0.png
"3","4",Χαλέπι,./0.png
"4","5",Βασόρα,./0.png
"5","6",Κτησιφών,./0.png
"6","7",Μερβ,./0.png
"7","8",Μπουχάρα,./0.png
"8","9",Σαμαρκάνδη,./0.png
"9","10",Τασκένδη,./0.png
"10","11",Καμπούλ,./0.png
"11","12",Κανταχάρ,./0.png
"12","13",Κάσγκαρ,./0.png
"13","14",Ντάκα,./0.png
"14","15",Ανόι,./0.png
"15","16",Νελόρ,./0.png
"16","17",Γκόα,./0.png
"17","18",Κουάνγκ-τσόου (Καντόνα),./0.png
"18","19",Λο-γιανγκ,./0.png
"19","20",Αξώμη,./0.png
"20","21",Άδουλη,./0.png
"21","22",Αλεξάνδρεια,./0.png
